,Generic Name or Active Ingredient,,Status,
,Leucovorin Calcium Injection,,Currently in Shortage,
,Lidocaine Hydrochloride Injection,,Currently in Shortage,
,Lidocaine Hydrochloride Solution,,Currently in Shortage,
,Liraglutide Injection,,Currently in Shortage,
,Lisdexamfetamine Dimesylate Capsule,,Currently in Shortage,
,"Lisdexamfetamine Dimesylate Tablet, Chewable",,Currently in Shortage,
,Lorazepam Injection,,Currently in Shortage,
,Lutetium Lu-177 Vipivotide Tetraxetan Injection,,Resolved,
,Mannitol Injection,,Resolved,
,Mepivacaine Hydrochloride Injection,,Resolved,
,Methamphetamine Hydrochloride Tablet,,Currently in Shortage,
,Methotrexate Sodium Injection,,Currently in Shortage,
,Methotrexate Sodium Tablet,,Currently in Shortage,
,"Methylphenidate Hydrochloride Tablet, Extended Release",,Currently in Shortage,
,Methylprednisolone Acetate Injection,,Currently in Shortage,
,Metronidazole Injection,,Currently in Shortage,
,Midazolam Hydrochloride Injection,,Currently in Shortage,
,Morphine Sulfate Injection,,Currently in Shortage,
,Multi-Vitamin Infusion (Adult and Pediatric) Injection,,Resolved,
,Naltrexone Hydrochloride Tablet,,Currently in Shortage,
,Neomycin Sulfate Tablet,,Currently in Shortage,
,Nitroglycerin Injection,,Currently in Shortage,
,Nizatidine Capsule,,Currently in Shortage,
,Oxybutynin Chloride Syrup,,Currently in Shortage,
,Palifermin Injection,,Resolved,
,Pantoprazole Sodium Injection,,Resolved,
,Parathyroid Hormone Injection,,Currently in Shortage,
,Penicillin G Benzathine Injection,,Currently in Shortage,
,Potassium Acetate Injection,,Currently in Shortage,
,Potassium Chloride Injection,,Currently in Shortage,
,Promethazine Hydrochloride Injection,,Currently in Shortage,
,Propranolol Hydrochloride Injection,,Currently in Shortage,
,Quinapril Hydrochloride Tablet,,Currently in Shortage,
,Quinapril/Hydrochlorothiazide Tablet,,Currently in Shortage,
,Remifentanil Hydrochloride Injection,,Currently in Shortage,
,Rifampin Capsule,,Currently in Shortage,
,Rifampin Injection,,Currently in Shortage,
,"Rifapentine Tablet, Film Coated",,Currently in Shortage,
,Riluzole Oral Suspension,,Currently in Shortage,
,Rocuronium Bromide Injection,,Currently in Shortage,
,Ropivacaine Hydrochloride Injection,,Currently in Shortage,
,Semaglutide Injection,,Currently in Shortage,
,Sodium Acetate Injection,,Currently in Shortage,
,Sodium Bicarbonate Injection,,Currently in Shortage,
,Sodium Chloride 0.9% Injection,,Currently in Shortage,
,Sodium Chloride 0.9% Irrigation,,Currently in Shortage,
,Sodium Chloride 0.9%0 Injection,,Currently in Shortage,
,Sodium Chloride 14.6% Injection,,Currently in Shortage,
,Sodium Chloride 23.4% Injection,,Currently in Shortage,
,"Sodium Phosphate, Dibasic, Anhydrous, Sodium Phosphate, Monobasic, Monohydrate Injection",,Currently in Shortage,
,Sodium Pyrophosphate Injection,,Currently in Shortage,
,Somatropin Injection,,Currently in Shortage,
,Sterile Water Injection,,Currently in Shortage,
,Sterile Water Irrigant,,Currently in Shortage,
,"Streptozocin Powder, For Solution",,Currently in Shortage,
,Sucralfate Tablet,,Currently in Shortage,
,Sufentanil Citrate Injection,,Currently in Shortage,
,Sulfasalazine Tablet,,Currently in Shortage,
,Technetium TC-99M Pyrophosphate Kit Injection,,Currently in Shortage,
,Tirzepatide Injection,,Currently in Shortage,
,Triamcinolone Acetonide Injection,,Currently in Shortage,
,Triamcinolone Hexacetonide Injection,,Currently in Shortage,
,Trimethobenzamide Hydrochloride Capsule,,Resolved,
,Valproate Sodium Injection,,Currently in Shortage,
,Vecuronium Bromide Injection,,Currently in Shortage,
,Vinblastine Sulfate Injection,,Currently in Shortage,
